scenario_id,gt_safe,pred_land,pred_hover,intervention_case,valid,valid_raw,cum_accuracy,cum_precision,cum_recall,cum_unsafe_landing_rate,cum_f1,mean_confidence
70,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
71,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
72,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
73,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
74,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
75,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
76,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
77,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
78,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
79,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
80,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
81,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
82,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
83,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
84,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
85,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
86,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
87,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
88,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
89,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
90,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
91,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
92,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
93,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
94,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
95,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
96,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
97,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
98,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
99,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
100,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
101,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
102,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
103,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
104,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
105,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
106,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
107,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
108,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
109,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
110,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
111,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
112,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
113,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
114,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
115,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
116,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
117,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
118,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
119,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
120,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
121,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
122,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
123,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
124,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
125,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
126,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
127,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
128,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
129,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
130,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
131,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
132,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
133,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
134,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
135,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
136,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
137,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
138,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
139,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
140,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
141,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
142,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
143,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
144,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
145,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
146,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
147,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
148,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
149,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
150,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
151,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
152,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
153,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
154,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
155,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
156,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
157,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
158,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
159,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
160,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
161,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
162,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
163,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
164,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
165,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
166,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
167,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
168,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
169,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
170,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
171,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
172,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
173,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
174,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
175,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
176,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
177,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
178,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
179,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
180,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
181,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
182,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
183,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
184,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
185,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
186,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
187,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
188,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
189,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
190,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
191,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
192,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
193,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
194,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
195,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
196,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
197,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
198,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
199,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
200,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
201,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
202,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
203,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
204,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
205,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
206,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
207,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
208,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
209,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
210,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
211,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
212,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
213,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
214,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
215,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
216,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
217,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
218,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
219,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
220,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
221,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
222,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
223,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
224,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
225,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
226,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
227,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
228,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
229,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
230,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
231,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
232,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
233,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
234,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
235,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
236,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
237,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
238,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
239,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
240,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
241,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
242,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
243,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
244,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
245,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
246,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
247,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
248,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
249,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
250,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
251,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
252,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
253,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
254,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
255,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
256,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
257,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
258,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
259,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
260,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
261,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
262,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
263,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
264,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
265,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
266,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
267,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
268,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
269,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
270,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
271,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
272,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
273,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
274,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
275,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
276,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
277,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
278,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
279,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
280,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
281,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
282,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
283,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
284,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
285,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
286,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
287,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
288,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
289,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
290,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
291,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
292,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
293,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
294,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
295,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
296,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
297,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
298,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
299,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
300,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
